Model,MAE,RMSE,R2
GRU Baseline,0.024366097524762154,0.041517299005927134,0.9749721884727478
Hybrid (No Noise),0.0218107420951128,0.03917072176205728,0.9777213931083679
Hybrid Noise p=0.0,0.0218107420951128,0.0391707217620572,0.9777214073673842
Hybrid Noise p=0.01,0.0303454622626304,0.0431784193298059,0.9729293873965673
Hybrid Noise p=0.03,0.0582380183041095,0.0650932680385491,0.9384771059451595
Hybrid Noise p=0.05,0.0873451381921768,0.0940219441696649,0.8716419653064882
Hybrid Noise p=0.1,0.1544322073459625,0.165836046368804,0.6006787009687045
